burst_gap_share,capture,data_bytes,data_gap_cv,data_gap_mean_ms,data_gap_std_ms,data_packets_per_s,data_size_mean,data_size_q25,data_size_q50,data_size_q75,data_size_q90,data_size_std,dataset,direction_switch_share,down_data_packets,duration_s,full_mtu_share,gap_cv,gap_mean_ms,gap_std_ms,idle_gap_share,ip_bytes,ip_size_mean,ip_size_q25,ip_size_q50,ip_size_q75,ip_size_q90,ip_size_std,mode,n_data,n_packets,packets_per_s,path,size_entropy,size_unique_share,small_data_share,tcp_share,udp_highbit_share,udp_tls_like_share,up_data_packets,up_data_share,valid
0.8833834263632461,flow,15754707,16.65097952942382,0.8389367111356743,13.969118003602258,1187.068237183828,1352.7998454404947,1448.0,1448.0,1448.0,1448.0,288.7429759046463,recordizer-new,0.0039501932159725205,5823,9.810724973678589,0.8826206422806113,17.883361186352893,0.7167914790442456,12.818640915048345,0.0009446114212108201,16466499,1202.9879456458211,1470.75,1500.0,1500.0,1500.0,550.6508335760941,tcp-plain-raw,11646,13688,1395.2077992935117,C:\Users\litvi\OneDrive\Documents\OpenCode\VPN_CLAUDE\release\dpi_audit_recordizer_allmodes_0.8.0_2026-08-26\pcap\tcp-plain-raw.pcap,1.2650244525075056,0.04052893697406835,0.02369912416280268,1.0,0.0,0.0,5823,0.5,True
0.8845426409903714,flow,15742883,16.522020767710572,0.8391660255119922,13.864718501066273,1186.1715131529031,1353.2951947047193,1448.0,1448.0,1448.0,1448.0,288.5663511392704,recordizer-new,0.003954607977991747,5826,9.80718207359314,0.8825754319608011,17.6832390357286,0.7183696215641034,12.703101734123937,0.0010316368638239339,16452855,1205.0725115359262,1500.0,1500.0,1500.0,1500.0,549.3815819865631,tcp-faketls,11633,13653,1392.1430129009357,C:\Users\litvi\OneDrive\Documents\OpenCode\VPN_CLAUDE\release\dpi_audit_recordizer_allmodes_0.8.0_2026-08-26\pcap\tcp-faketls.pcap,1.2608100433037621,0.041175964927361815,0.023639645835124217,1.0,0.0,0.0,5807,0.4991833576893321,True
0.8845431255337318,flow,15904254,16.472947161293977,0.8336137646187278,13.732075497491659,1194.283072997852,1358.0611390999914,1448.0,1448.0,1448.0,1448.0,275.76600641352286,recordizer-new,0.003928266438941076,5860,9.805882930755615,0.8847237639825805,17.599668488010998,0.7134145457079385,12.555859498984686,0.0009393680614859095,16619062,1209.0107667685145,1500.0,1500.0,1500.0,1500.0,545.3480993143385,tcp-padding,11711,13746,1401.8115550703162,C:\Users\litvi\OneDrive\Documents\OpenCode\VPN_CLAUDE\release\dpi_audit_recordizer_allmodes_0.8.0_2026-08-26\pcap\tcp-padding.pcap,1.5916214717711101,0.06404235334301084,0.01588250362906669,1.0,0.0,0.0,5851,0.49961574587994195,True
0.8853481418197352,flow,15902179,16.66927498477467,0.833627170398163,13.895960538146591,1194.4657695464148,1358.4639501110541,1448.0,1448.0,1448.0,1448.0,275.9989497015704,recordizer-new,0.003929944468175993,5864,9.800197124481201,0.8856142149325132,17.852886434495993,0.7137278511748016,12.742102272160592,0.0010252029047415634,16616259,1210.0392513836296,1500.0,1500.0,1500.0,1500.0,545.0088992399711,tcp-frag,11706,13732,1401.1963050923773,C:\Users\litvi\OneDrive\Documents\OpenCode\VPN_CLAUDE\release\dpi_audit_recordizer_allmodes_0.8.0_2026-08-26\pcap\tcp-frag.pcap,1.5970146898404696,0.06629079104732616,0.016230992653340166,1.0,0.0,0.0,5842,0.4990603109516487,True
0.8841889817499574,flow,15927789,16.261690619704677,0.8312354574995644,13.517293841986593,1198.0342455885534,1358.215144538245,1448.0,1448.0,1448.0,1448.0,276.7152189026317,recordizer-new,0.004264028654272557,5871,9.788534879684448,0.8840283107359086,17.0317641642521,0.7452253429527559,12.692502290395229,0.0010233668770254136,16610877,1264.5308313032888,1500.0,1500.0,1500.0,1500.0,494.977938883362,tcp-obfs,11727,13136,1341.9781572483362,C:\Users\litvi\OneDrive\Documents\OpenCode\VPN_CLAUDE\release\dpi_audit_recordizer_allmodes_0.8.0_2026-08-26\pcap\tcp-obfs.pcap,1.6157249196730665,0.06583098831755778,0.017822119894261107,1.0,0.0,0.0,5856,0.4993604502430289,True
0.8832217070238708,flow,15747943,16.716360045261514,0.839751855462723,14.037594364591284,1185.801927793,1352.1029449643686,1448.0,1448.0,1448.0,1448.0,290.18204030679203,recordizer-new,0.00394985402713378,5819,9.822045087814331,0.8818579891817635,17.949754341031834,0.716832950504622,12.866975365114998,0.0009445303108363386,16460515,1201.234401226009,1431.5,1500.0,1500.0,1500.0,552.0084548636146,tcp-reality,11647,13703,1395.1269697387722,C:\Users\litvi\OneDrive\Documents\OpenCode\VPN_CLAUDE\release\dpi_audit_recordizer_allmodes_0.8.0_2026-08-26\pcap\tcp-reality.pcap,1.2806794272023916,0.04198506053060874,0.023782948398729287,1.0,0.0,0.0,5828,0.500386365587705,True
0.9073121362907987,flow,15841704,16.51755871211162,0.8377228577864696,13.837136487965944,1188.853323213654,1335.950750548153,1448.0,1448.0,1448.0,1448.0,258.381102574296,recordizer-new,0.011301340980011808,5956,9.974317073822021,0.796761679878563,17.40429232567344,0.7420262664649622,12.914442054884255,0.0009277220207472379,16540756,1230.4363609313398,1098.0,1500.0,1500.0,1500.0,494.47795801615945,tcp-reality-tls,11858,13443,1347.7614457717282,C:\Users\litvi\OneDrive\Documents\OpenCode\VPN_CLAUDE\release\dpi_audit_recordizer_allmodes_0.8.0_2026-08-26\pcap\tcp-reality-tls.pcap,1.5312423720915065,0.033226513745994266,0.017962556923595885,1.0,0.0,0.0,5902,0.4977230561646146,True
0.9980238748185191,flow,17098339,24.107822362614726,0.4052772678123557,9.770352380026106,2467.546069098446,689.5325644231157,548.0,548.0,548.0,1448.0,393.351572989293,recordizer-new,0.002177770608162607,18357,10.049255132675171,0.18764366657256926,24.107822362614726,0.4052772678123557,9.770352380026106,0.00048394902403613486,17792655,717.5325644231157,576.0,576.0,576.0,1476.0,393.351572989293,udp-faketls,24797,24797,2467.546069098446,C:\Users\litvi\OneDrive\Documents\OpenCode\VPN_CLAUDE\release\dpi_audit_recordizer_allmodes_0.8.0_2026-08-26\pcap\udp-faketls.pcap,4.1614931072468275,0.04117433560511352,0.06270919869339033,0.0,0.0006049118845021575,0.9993950881154978,6440,0.25970883574625964,True
0.9968013604340432,flow,17651846,23.81256907504471,0.4070861222377354,9.693766405278168,2456.5821198012086,714.6785699825904,548.0,548.0,625.0,1448.0,382.87402023610804,recordizer-new,0.002186411855210948,18248,10.054213047027588,0.1894408680513381,23.81256907504471,0.4070861222377354,9.693766405278168,0.0005263584095878209,18343418,742.6785699825904,576.0,576.0,653.0,1476.0,382.87402023610804,udp-padding,24699,24699,2456.5821198012086,C:\Users\litvi\OneDrive\Documents\OpenCode\VPN_CLAUDE\release\dpi_audit_recordizer_allmodes_0.8.0_2026-08-26\pcap\udp-padding.pcap,3.9942271618100627,0.04575084011498441,0.017288149317786144,0.0,0.0006073120369245718,0.9993926879630755,6451,0.2611846633466942,True
0.9979298538954576,flow,17330402,23.825914257310252,0.40001950639273465,9.530830460564866,2499.9776123921883,689.9045382165605,548.0,548.0,548.0,1457.0,392.4472403119293,recordizer-new,0.002149767108563239,18636,10.048089981079102,0.18252388535031847,23.825914257310252,0.40001950639273465,9.530830460564866,0.0004777260241251642,18033762,717.9045382165605,576.0,576.0,576.0,1485.0,392.4472403119293,udp-quic,25120,25120,2499.9776123921883,C:\Users\litvi\OneDrive\Documents\OpenCode\VPN_CLAUDE\release\dpi_audit_recordizer_allmodes_0.8.0_2026-08-26\pcap\udp-quic.pcap,4.160747582635218,0.04183917197452229,0.05768312101910828,0.0,0.00019904458598726116,0.0,6484,0.2581210191082803,True
